label,review
0,速度太慢，一个半小时才送到
0,蛋糕溶掉了
1,味道还好，量大肉多，缺点是饭下面都是油，写了不吃辣酱还是辣的
1,"挺好的,挺快的"
1,宇宙还是一如既往的给力！继续！
1,很合口味。女友夸猪蹄好吃。过年期间都不容易。给快递小哥个赞。辛苦。
0,我点的渝川番茄米线，口味一般，没有期望那么好。为了错开用餐高峰期，11点01分下的单，结果一个小时后没有到。一直催了N次单，店员总说送出来了。从小渝府到北科一共5分的路程，加上做的时间，送其他人餐的时间，怎么算也用不了三个半小时。不得不想点了餐，是不是去种菜种大米了！好好的生意也是会做黄的！经过几次交涉，餐送到。口味还一般，真不知道为什么小渝府有名的米线是怎么来的？刷的吗？这个样子，也就吃这一次了。
0,很难很难吃，很慢，服了气了
1,超快！服务好热情
1,口味还不错，猪肉的稍稍有些甜了，快递速度超快
1,配送小哥超级棒！
1,泡菜特别棒，大赞！
1,挺好滴，外卖师傅很可爱：）
0,挺好吃的，但是再也不买了，超时两个点。
1,这么晚辛苦外卖小哥了
0,鸡腿饭一般，和想象中差距挺大，不是很推荐
1,送的好慢啊
0,"不是评东西。是评这态度！送餐员自己找不到地方还怪我地址写错，我自己能编出来个地址？从我上班给我地址找地方，人家就这么给的，寄所有东西也都写这个地址。大家怎么都找到了？外卖员这块也混这么久了，找不到地方还外卖什么啊，而且鼻子下的东西干什么用的，不懂问啊。,大哥这脾气这智商，还是干别的吧。"
1,饼比较硬，肘子卷不错，可是吃不出来是肘子肉
1,今天送的挺早。。。。。。
1,速度很快，外送员辛苦了
0,迟到80多分钟
1,中规中矩。
1,周到贴心～细致热情
1,"很好,很方便"
0,草！这小抄肉全你吗大肥肉！
0,疙瘩汤比学校食堂都差，没这么糊弄的！扁豆面，基本都扔了
0,吸取教训披萨还是买出名点的
0,态度太差！
1,还好吧就是肉切的有点大饼不是太好如果是厚面烙饼会好很多，
0,"双拼饭要的,川香鸭肠,结果送过来时笋烧肉。。。。"
0,"真心不怎么样,虽然有满减但还是感觉不值那个价,说是海鲜炒乌冬面,但是总共就见着一个小虾,好像还有一小个鱿鱼的小爪爪什么的,其他都木有看到,味道也不怎么样,总之比不上其他的,早知道不要这个了"
0,"肥肉太多！送餐太慢,不会订了"
1,送餐员平易近人，速度快，好评！
0,真是慢！！！提前订也是这么慢
1,送来的挺快的～味道不错
0,今天这顿午餐吃得着实不爽，10点多订餐，要求12点到，结果迟到了40多分钟，1点就上班，还有时间吃饭吗？配送员竟然和我抱怨说这边太远了，这个理由太扯了吧。好吧，就不说菜汤都流的到处都是了，着急赶快吃完上班，一口菜进嘴里，一个比鱼刺还大还坚硬的塑料碎片卡在嗓子眼，估计是你们塑料勺碎了吧？怎么还掺在菜里面？幸好我及时取出，现在嗓子眼还疼着，物证还保留着。这种卫生，着实醉了。
1,味道依然是不错的，百度骑士很靠谱！
0,大冷天，辛苦了。新年快乐。
1,杂酱面量很大，味道不错，就是油太大。吃完很腻，藕丁很爽口
1,包装好，味道也不错，就是粥有点凉，但卷饼太好吃了！
1,挺好吃！就是炸土豆丝写的是10元，不知道为什么结账时就变20元了，后来就没点～
0,送餐员下次送披萨的时候能小心一点拿吗……披萨上的菜全彼岸在盒子上了……一打开就一张白面饼……
1,"包装很棒,可惜味道偏甜不合口味"
1,还不错！！送餐员很棒
1,感觉还不错！配送很及时！刚刚好下班点送到！
0,鱼香肉丝味道一般，南瓜粥太淡了
0,"咸,不新鲜,少"
0,1个多小时才到，还没有带酱包……味道还不错
1,奶茶超级好喝，喝了好多次了
1,特别好喝，经常定，快递小哥非常好。
0,再也不会订这家餐了。确认订单到收到餐用了两个小时，就公交一站地的路程。
0,太差劲了，送来时纸袋底儿漏了，粥都扣了，一个饼外包装开了也是掉过地上的。我们说剩下这么点我们两个人怎么够吃，送餐员态度无语了，说：你再点呗我有什么办法！
1,一般吧，没有期待中的感觉
1,菜不错，但送的实在太慢了……
1,"师傅很辛苦,下雨还这么快送来"
1,菜不错！百度骑士辛苦！
0,我点的是酱香排骨面，竟然给我送的是香辣排骨面！把我辣的不行！很失败的一次服务，送餐！
0,迟到四十五分钟。。。别的不用再说了应该。。。至于商品质量，只能说凉煎饼能多好吃。。。
0,"能让我写评价的店也就你黄太吉了,上次一次点的时候,都付款了还给我取消了,也没有电话告诉我,这次第二次点,心想好歹尝一次,就在家门口对面,走路过来也就七八分钟以内,结果等了一个多小时不说,东西的味道我也是不想多说了,我真不是个挑食的人,再也不会叫了"
0,东西都错了，什么啊
1,湄洲的饭菜还是比较好的
0,让人崩溃的慢，将近两个小时送到，我真服了，等到都感觉不到饿了呢，这点值得一赞啊，这上边的大约送达时间让人不敢恭维啊，差距有点大
1,很快很不错
1,"超级好,喜欢,送的还很快,喜欢上百度外卖了,啊啊,不要胖啊"
1,"挺好味道比较淡,还好给了盒榨菜,还不错"
0,"东西不错,就是送餐时少给了两个煎饼,结果又等了一个小时才来的,同事已饿晕"
1,还是可圈可点的
0,实物四块干巴巴的牛肉条，现在明白图片仅供参考的意思了。口味太不敢恭维，两小时半才送到。对百度外卖及其失望。一会果断卸载APP
0,服务送餐都很好。百度外卖下单之后改不了单。这个希望能改进下。
0,真的很难吃。。。。。
0,"加了奶油都不到盖子,什么情况"
0,把中饭送成下午茶，2个小时，这还能算外卖么，已经没有食欲了
1,"味道还不错,喜欢虾和四季豆,快递小哥儿很给力～"
1,不错，就是地三鲜油太大了
0,越来越差，越来越差，虽然写了也没人在乎没人看但还是要写，等了一个多小时，订单莫名其妙就被完成了，可是我的饭呢？饭呢？饭呢？？？受不了？搞个毛线互联网+啊，送餐员也是叼着烟一副屌样，呸
1,作为襄阳人，就是这个味！
0,粥还是很好喝的，但是青椒土豆片为什么只有小半餐盒？连正常就餐的一半都不到，难道是剩的吗！
1,快递非常给力！！
1,用心做的饭菜就是好
1,吃不了羊肉要了十个烤尖椒很好吃
0,严重超时不说，饭菜都凉了。差评
1,姜蓉鸡，新菜，味道也不错。
0,"没送烤肠和卤蛋,餐厅电话打不通"
0,皮蛋瘦肉粥不是熬出来的粥，是白粥上撒料，美味。葱油面没什么味道，就肥肠米粉还可以，不太满意。
1,包装用心，肘子卷饼肉超多，就是有点干，下次点个菜的。
1,天气不好，师傅辛苦了
1,送得太慢了～味道很好
0,送了150分钟！
1,吃了牛肉，鸡肉和肘子，最后结论还是肘子好吃～
1,味道还不错，红烧肉更软点就更完美啦！
0,饭送来的时候全洒了，还怪商家盖子没盖好，以前又不是没订过，也没见其他人洒一兜子的~
0,酸辣粉太一般，不算好吃
1,速度够快，包装也还可以，还没开吃，好评
1,味道不错，送餐时间一个多小时
1,"慢,一次比一次慢,再也不定了"
0,完全都捂烂了！！！
0,买三样送错两样也就算了！面里竟然有钢丝球！真受不了了！再也不吃！差评差评差评！！！
0,"凉了,口感很差,非常失望"
0,"我点的尖椒土豆丝给做成醋溜土豆丝了,酸死了,麻婆豆腐还可以,这次百度骑士导航坏了,送餐比较慢"
0,想吃万年青点的，整整晚了一个多小时，真是醉了，葱油拌面还行，就是送来已经坨成石头了。
1,肘子卷饼很好吃，推荐
0,"特别油不好吃,基本没有牛肉,有几条肉丝,不超过3"
1,明明说了不要辣...好辣...
1,眉州东坡的菜品自然是没话说的。
1,非常赞，速度特别快！口感非常好！！！
1,粥没有给勺子，，点的大份但是送成中份了，已和卖家协商好。
0,真是服了，等了将近两个小时才到，送餐的人说什么要下雨了还催我下来拿态度特别差。。
1,货真价值的肘子卷饼，味道很赞，就是饭点送餐慢了点，可接受
1,"送餐哥们很好,谢谢"
0,比承诺晚一小时送到
1,很负责的送餐师傅！
1,送餐员太辛苦了！在这么冷的天气还能准时送到，点赞
0,慢死了！！！！！！不怕饿死的可以订……
1,送来的时候，热气腾腾，第一次吃到这么可口的外卖
1,芋圆小丸子不甜～希望下次甜一点，真的没什么味道
0,我定的是酸萝卜鸡胗饭，请问老板，我的酸萝卜在哪里，一块都没有看到，米饭特别干
1,蛋糕美味，送来的速度超快。
1,菜品质量很好，吃货几次了，都还不错
1,百度外卖的袋子挺可爱的，送餐员服务也好。关键稻香村好吃！哈哈哈
0,特别差，而且不给开发票，态度恶劣的商家！！
1,一如既往的好吃！派送员很负责，小点心一点没碎！
1,"快递员服务非常好,食品也不错"
1,好吃！送餐时间准！赞！
0,可能是因为远，汤都在盒子外面，鸡肉饭的味道一般
1,红红火火恍恍惚惚哈哈哈哈
1,这次稍有点慢。
0,"我都说了不要辣！！！IT男的话,请拿出写程序的细心好吗？"
0,啥玩意面包都糊巴了。冰淇淋化了我能理解毕竟是夏天，可是面包烤的又难看又干巴。以后再也不点了。没外婆家一半好吃。
0,"卡着点儿送,路线上都把中国地图画出来了，咖啡凉了,还洒了出来,！送到了什么习惯？眼睛一直往屋里瞄来瞄去！百度外卖再见！"
1,送餐比之前快了不少呀，是只有我这么想么。味道很赞。
1,"定位出了点问题超出了配送范围,但是快递人员还是耐心问路给送了,好评"
0,送餐迟到20分钟不说，竟然还少一样菜！太不认真了！差评！
0,无论是外卖还是实体店，一直在支持小渝府，但又被无故取消订单了，还因此错过订餐的合适时间。作为老顾客很不开心。
0,这个饼真的很难吃，第一口肥肉，第二口还是肥肉，没有什么味道
1,百度小哥太有礼貌了！约17:30送餐，敲家门的时候一分不差！绝对32个赞
1,活动挺好、希望继续保持
1,送餐太快！也是一种错
0,配送时间真无法保证
1,味道非常不错！只是送餐时间比较久。
1,比预计时间快了好多，又快又好，好评！！
0,3次了，就不给餐具的？！
0,下单时专门备注了少放土豆粉，但每次都是土豆粉放最多，都没吃，浪费了
0,味道很一般，以后不会再定了
0,粥没有，送饮料还价格一样，坑
1,送餐快，pizza味道也不错！
1,宇宙的味道，很好吃！
1,好吃，就是慢，也怪我点餐晚
1,这大冷天的辛苦骑士了！谢谢您！饭很好吃！
1,菜味道一般，南瓜粥好喝
0,不是很好吃，只有土豆豆芽，没有绿色的菜
0,板栗烧鸡很难吃，烧牛肉不错
1,宝宝很爱吃荷兰豆，甜甜的
1,提前订，还是挺快的！送餐师傅人很好！
1,很好，还很热！！！！？？
0,量小，送的慢！量超小！送的超慢！
1,没有第一次吃的好吃
1,非常好，快递小哥很辛苦，赞一个！
1,很喜欢，一周已经喝了四次了。最爱手榨柠檬绿
1,味道还不错，但是量太小了，正餐的话根本吃不饱
0,打死卖盐的了，叫了两盒米饭，菜都没吃完，再也不能吃他家菜了，差评
1,好喝！快递小哥这么大的雨还送的很快！看他的湿哒哒的了！谢谢你们啦！！！
0,"我订了广味烤肠,但没有给我送"
1,送达晚了些，但是送了一瓶饮料，心情舒缓了些，好评
0,送的太慢，10点40下单，12点42送到，今天再试试，看是不是还这么慢
1,非常可口，油量刚刚好，美味佳肴
0,"不认路,没零钱,鸡块是腥的"
0,预计11点24送，现在12点了
1,很好的，外卖小哥很好很快的，一会儿就送到了，赞
0,我的订单是两杯热的，其中一杯给的冰的，还放了很多冰块，不能喝凉的！！
1,外送小伙儿很逗
0,给我送成手撕包菜盖饭了！
1,不错，就是豆浆橙汁都不好喝
0,一般吧，还可以
1,速度很快，食品也特别棒！
1,好吃不贵，经济实惠！
0,说是米饭牛肉套餐居然没米饭只有菜。。我也是醉了。。。这文字功夫下得可真是足啊。。。欺骗消费者
1,味道不错，但送了一小时。今天是周日啊～
1,这家的卷饼很好吃，但是送餐每次都很慢，要一个半小时的样子。不过还挺值得等的，尤其肘子卷和鸡腿卷。不过土豆肉丝卷一般，肉少。
1,味道不错，就是好辣啊！把辣椒拿出去又觉得有点腻，能吃辣的可以试试看！
1,很快，包装很好
1,豆腐脑很淡，不太喜欢，猪蹄不错！
1,送货快，老字号值得信赖。
1,"很满意！送餐速度挺快的（毕竟近,马路正对面），菜量没有堂食多。"
0,强烈不推荐回锅肉盖饭！！！真的太难吃了！！！全是大肥肉！！！不能再肥了！！！
1,送餐小哥神速～味道也好～
